"nmqm","Zentral","WL","Gebtyp.25","Haustyp.23","HZ.unvoll","Fussboden.HZ","bad.score.25","Kueche.offen","kue.score.23","Boden.Fak.23","Modern.Boden","Balkon.Terrasse","Besond.Ausst","Modern.Fenster","wfl.gekappt","bj","(weights)"
17.46,1,"beste","anderer","anderer",FALSE,0,2,0,0,"guter",1,0,0,0,50,1957.5,0.0393501489640936
13,1,"beste","anderer","sehr.einfacher",FALSE,0,0,0,1,"guter",0,0,0,0,51,1918,0.0672100092590424
7.22,1,"beste","anderer","anderer",FALSE,0,0,0,0,"anderer",0,0,0,0,72,2003.5,0.0740905444281156
17.53,1,"beste","anderer","einfacher",FALSE,0,1,0,0,"guter",0,0,0,0,73,1918,0.0675671821788093
18.26,1,"gute","anderer","guter",FALSE,0,4,1,0,"guter",0,1,1,0,115,1918,0.064645178289947
18.84,1,"beste","anderer","guter",FALSE,0,2,0,0,"guter",0,1,0,0,75,1918,0.0612333504185266
18.81,1,"gute","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,94,1918,0.0895877603310737
34,1,"beste","anderer","guter",FALSE,0,1,1,2,"guter",0,0,0,0,30,1918,0.0540595329491554
13.73,1,"beste","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,69,1957.5,0.0710286762158812
19.56,1,"gute","anderer","guter",FALSE,0,2,0,0,"guter",0,0,0,0,105,1918,0.0762989220558248
22.24,1,"gute","Wohnblock","guter",FALSE,0,3,0,0,"guter",0,0,0,0,98,1924,0.0623037878191358
21.1,1,"beste","anderer","anderer",FALSE,0,4,1,3,"guter",0,1,1,0,80,1918,0.0505527201146351
7.84,1,"beste","anderer","guter",FALSE,0,1,0,2,"guter",0,1,0,0,51,1924,0.0569109118697111
17.19,1,"gute","anderer","anderer",FALSE,0,2,0,1,"guter",0,0,0,0,64,1983,0.070013264514513
15.4,1,"beste","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,75,1957.5,0.0816958093310182
7.28,1,"beste","anderer","sehr.einfacher",FALSE,0,1,0,0,"guter",0,0,0,0,100,1918,0.0777222412786088
8.94,1,"beste","anderer","anderer",FALSE,0,0,0,0,"anderer",0,0,0,0,70,1957.5,0.0710773588660979
37.5,1,"gute","anderer","anderer",FALSE,0,1,0,0,"guter",0,0,0,0,20,2013.5,0.0521225599393157
24.27,1,"gute","anderer","anderer",FALSE,0,4,0,3,"guter",0,0,1,0,82,2003.5,0.060318042136417
21.22,1,"gute","anderer","guter",FALSE,0,1,0,0,"guter",0,0,0,0,61,1918,0.0677129335831673
17.16,1,"gute","anderer","anderer",FALSE,0,0,0,2,"guter",0,1,0,0,55,1957.5,0.0785445172156836
16.06,1,"gute","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,87,1957.5,0.0415822712070017
23.44,1,"gute","anderer","ENb",FALSE,0,0,0,0,"guter",0,1,0,0,65,1957.5,0.0827257735065736
25.53,1,"gute","anderer","anderer",FALSE,0,1,1,0,"guter",0,1,0,0,70,1972,0.0391731233135197
13.34,0,"durchschnittliche","Wohnblock","einfacher",FALSE,0,4,0,0,"guter",1,0,0,0,96,1924,0.0631334935485156
17.28,0,"durchschnittliche","Wohnblock","einfacher",FALSE,0,2,0,0,"guter",0,0,0,0,87,1918,0.116390695557767
9.56,0,"durchschnittliche","Wohnblock","einfacher",TRUE,0,1,0,0,"guter",0,0,0,0,98,1924,0.129705556218229
10.12,0,"durchschnittliche","Wohnblock","einfacher",FALSE,0,2,0,0,"guter",0,0,0,0,119,1924,0.064859429994664
9.84,0,"durchschnittliche","Wohnblock","einfacher",FALSE,0,0,0,0,"guter",0,0,0,0,71,1924,0.125719089652782
9.95,0,"durchschnittliche","Wohnblock","einfacher",FALSE,0,0,0,0,"guter",0,0,0,0,97,1924,0.143866171063427
9.41,0,"durchschnittliche","Wohnblock","einfacher",FALSE,0,1,0,0,"guter",0,0,0,0,105,1924,0.134500568800312
15.14,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,1,"guter",0,1,0,0,37,1972,0.110565980396998
18.18,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,1,"guter",0,1,0,0,33,1983,0.111311121415029
8.77,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,0,0,0,"einfacher",0,1,0,0,133,1972,0.210352349636074
10.57,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"ohne",0,1,0,0,67,1983,0.212034051429497
11.37,0,"durchschnittliche","anderer","ENb",FALSE,0,1,0,0,"guter",0,1,0,0,52,1957.5,0.116156955063478
13.41,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,0,0,0,"einfacher",0,1,0,0,34,1957.5,0.122347283237991
22.22,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,2,"guter",1,1,1,0,36,1972,0.0672479277803715
19.56,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,2,"guter",1,1,0,0,70,1983,0.0459641205596138
7.8,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"anderer",0,1,0,0,54,1983,0.123564077691344
18.52,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,3,"guter",1,0,1,0,71,2003.5,0.0450714608420863
19.44,0,"durchschnittliche","anderer","anderer",FALSE,0,4,1,2,"guter",0,0,1,0,90,2020,0.0361907352126363
12.5,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,108,1983,0.164236839432968
17.35,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,0,"guter",0,0,0,0,115,2003.5,0.149009616038929
13.64,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,0,"guter",0,0,0,0,78,2003.5,0.122993608815937
10.3,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,65,1993.5,0.14770265889084
20.59,0,"durchschnittliche","anderer","anderer",FALSE,0,2,1,3,"guter",0,0,1,0,51,2013.5,0.0919500531807401
12.37,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,3,"guter",0,1,0,0,59,1993.5,0.128416623868844
9.83,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,1,0,75,1972,0.134653957312823
18.2,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,0,"guter",1,1,0,0,50,1972,0.0806251147390931
17.73,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,3,"guter",0,1,0,0,44,1983,0.131393034041094
10.19,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,0,0,0,"ohne",0,1,0,0,65,1957.5,0.221236420221924
16.26,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,3,"guter",0,0,1,0,43,2003.5,0.12751166541755
20.78,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,3,"guter",0,1,0,0,32,1957.5,0.0939153945205392
13.54,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,1,0,1,"guter",0,1,0,0,48,1957.5,0.113771765845043
13.17,0,"durchschnittliche","Hochhaus","ENb",FALSE,0,1,0,1,"guter",1,1,0,0,45,1972,0.0785609501767193
15.75,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,3,"guter",0,0,0,0,80,2003.5,0.138560448490464
13.75,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",0,0,0,0,40,1993.5,0.129739592633634
15.93,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,1,"guter",1,1,0,0,59,1983,0.0968109993297232
20.53,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,30,1983,0.0610944915483658
21.43,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,3,"guter",1,1,0,0,56,1993.5,0.0960900717518752
10.18,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",1,1,0,0,55,1957.5,0.0402101469381545
21.47,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,3,"einfacher",0,1,0,0,34,1957.5,0.0984214382103605
11.07,0,"durchschnittliche","anderer","einfacher",FALSE,0,3,0,0,"guter",0,0,0,0,70,1918,0.0955824327727527
6.46,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,1,0,1,"guter",0,1,0,0,59,1957.5,0.120451795352468
13.98,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",0,1,0,0,44,1972,0.127833205287524
12.19,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"einfacher",0,0,0,0,55,1957.5,0.136427665201161
15.83,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,3,"guter",0,1,0,0,70,1972,0.146288441582371
12.5,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,54,1983,0.138388279555237
14.41,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",0,0,1,0,118,2003.5,0.168742051027373
14.85,0,"durchschnittliche","anderer","ENb",FALSE,0,2,0,3,"anderer",1,1,0,0,67,1957.5,0.068538721798098
18.53,0,"durchschnittliche","anderer","ENb",FALSE,0,1,0,0,"guter",1,1,0,0,75,1957.5,0.0892100622915202
18.18,0,"durchschnittliche","anderer","anderer",FALSE,0,3,0,3,"guter",0,0,0,0,110,2003.5,0.130226927609428
15.31,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,54,1993.5,0.125129134696944
12.5,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,72,1993.5,0.153163304692772
14.61,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,0,0,0,"anderer",0,1,0,0,76,1957.5,0.0654815180875052
19.99,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,30,1972,0.118878519505023
7.82,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,0,0,0,"ohne",0,1,0,0,70,1957.5,0.227048390659361
14.11,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,3,0,1,"einfacher",1,1,0,0,50,1957.5,0.0653800010535709
16.9,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,1,0,0,"einfacher",1,1,1,0,71,1957.5,0.0906257890855837
13.59,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"anderer",0,1,1,0,71,1972,0.11776139337249
14.91,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,1,"guter",0,1,0,0,57,1957.5,0.132910876622081
12.03,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,64,1972,0.141806387960983
11.83,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,0,0,0,"anderer",0,1,0,0,78,1957.5,0.132328440546596
16.9,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,1,0,0,"guter",0,0,1,0,71,2013.5,0.113724459053141
14.24,0,"durchschnittliche","anderer","einfacher",FALSE,0,4,0,0,"guter",1,1,0,0,99,1924,0.0641233853325147
17.05,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",0,1,0,0,56,1972,0.136042882745115
18,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,0,"guter",1,1,0,0,23,1972,0.0628623458243212
13.01,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,0,0,0,"guter",0,1,0,0,81,1957.5,0.150527863845169
11.98,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",0,1,0,0,45,1993.5,0.133148585806645
10.14,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,1,0,0,"einfacher",0,1,0,0,81,1972,0.14407197764917
15.43,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,2,0,0,"guter",1,1,0,0,70,1957.5,0.0779650768901033
12.37,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,1,0,0,"guter",1,1,0,0,59,1957.5,0.0821061831995707
15.86,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,1,0,3,"einfacher",0,1,0,0,58,1972,0.127872066664064
9.24,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,1,0,0,"einfacher",0,1,1,0,69,1957.5,0.131578392021143
14.29,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,0,0,0,"guter",0,1,0,0,35,1957.5,0.118576923069416
15,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,3,"guter",0,0,0,0,62,2003.5,0.0703590469999069
14.18,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,67,1983,0.148040875123678
23.58,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,2,"guter",0,0,0,0,50,2003.5,0.118595111905947
12.96,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,0,0,0,81,2003.5,0.0776450542534353
15.56,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,3,"guter",0,0,0,0,63,2003.5,0.126867412395396
12.5,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,72,1983,0.151929911743385
13.51,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,77,1983,0.155920987134605
9.58,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,1,0,60,1957.5,0.134995127844652
10.82,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,0,"guter",0,1,0,0,85,1972,0.15812244518066
12.65,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,0,1,0,"ohne",0,1,0,0,38,1957.5,0.192324726972547
13.34,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,54,1957.5,0.117368207254392
6.85,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,2,0,0,"einfacher",0,1,0,0,71,1957.5,0.119244100842812
17.16,0,"durchschnittliche","anderer","ENb",FALSE,0,1,1,0,"einfacher",0,0,0,0,67,1957.5,0.130220653409933
11.87,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,2,0,0,"guter",0,1,0,0,55,1983,0.111904431576312
19.57,0,"durchschnittliche","anderer","anderer",FALSE,0,4,0,0,"guter",0,0,0,0,92,2020,0.0731360958248718
21.99,0,"durchschnittliche","anderer","anderer",FALSE,0,4,1,0,"guter",0,0,0,0,80,2020,0.0687235416671126
20.86,0,"durchschnittliche","anderer","anderer",FALSE,0,4,1,0,"guter",0,0,0,0,84,2020,0.0701639948353037
21.68,0,"durchschnittliche","anderer","anderer",FALSE,0,4,1,3,"guter",0,0,0,0,93,2020,0.0735163543758378
16.46,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,2,0,0,"einfacher",1,1,0,0,79,1957.5,0.0847261588683582
12.14,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"ohne",0,1,0,0,49,1957.5,0.203617826125653
20,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,0,"guter",0,0,1,0,40,2013.5,0.0868503688456277
22.12,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,33,1957.5,0.117353039372226
10.48,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,0,"ohne",0,1,0,0,65,1957.5,0.221236420221924
21.85,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,2,"guter",0,1,0,0,27,1972,0.104976526321369
18.19,0,"durchschnittliche","anderer","einfacher",FALSE,0,1,0,3,"guter",0,0,0,0,37,1939,0.0918210060506163
6.14,0,"durchschnittliche","anderer","sehr.einfacher",TRUE,0,0,1,0,"anderer",0,0,0,0,47,1939,0.0481377074395982
13.22,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,2,"guter",0,0,0,0,74,2003.5,0.134315426055187
14.84,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,1,1,0,"guter",0,0,0,0,90,2013.5,0.125500652851841
13.06,0,"durchschnittliche","anderer","ENb",FALSE,0,1,0,1,"guter",0,1,0,0,47,1972,0.116452720817829
16.43,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,0,"einfacher",0,1,0,0,56,1957.5,0.068568560328982
13.55,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,0,"guter",0,0,1,0,68,2013.5,0.11196876700091
10.04,0,"durchschnittliche","Wohnblock","anderer",TRUE,0,0,0,0,"einfacher",0,0,0,0,58,1957.5,0.138567100932484
20.54,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,56,1993.5,0.140966504677584
15.59,0,"durchschnittliche","Wohnblock","guter",FALSE,0,0,0,2,"guter",0,0,0,0,59,1924,0.118133305499189
11.54,0,"durchschnittliche","Wohnblock","einfacher",TRUE,0,0,0,0,"anderer",0,1,0,0,98,1924,0.129123061218117
12.64,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,1,0,0,"guter",0,0,0,0,55,2003.5,0.121711037455251
13.99,0,"durchschnittliche","anderer","anderer",FALSE,0,2,1,0,"guter",0,0,0,0,95,2003.5,0.134329001720211
18,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,100,1993.5,0.177099167523379
13.35,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,0,0,0,"guter",0,0,0,0,72,2003.5,0.0741043422948265
13,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,1,"guter",0,1,1,0,40,1983,0.128694826074623
10.84,0,"durchschnittliche","Hochhaus","anderer",FALSE,1,0,0,0,"einfacher",0,1,0,0,59,1972,0.105427022853524
15,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,1,0,0,"guter",1,1,1,0,60,1957.5,0.0825331401798397
8.9,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,0,0,0,"anderer",0,1,0,0,65,1957.5,0.0618505077241268
12.9,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"einfacher",0,1,0,0,39,1957.5,0.125562159071412
13.92,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,3,"guter",0,0,0,0,130,2003.5,0.17957680932812
10.51,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,60,1957.5,0.0674975639223262
14.08,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,0,"guter",0,0,0,0,74,2020,0.092331327800228
8.17,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"anderer",0,1,0,0,75,1957.5,0.130285621651782
14.37,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"einfacher",0,0,0,0,52,1957.5,0.0671606051250346
16.6,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,59,1972,0.0690881332892855
14.29,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,56,1957.5,0.0661116452894719
8.25,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,1,"guter",0,1,0,0,65,1957.5,0.138541645978059
19.7,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,0,"ohne",0,1,0,0,23,1972,0.183066509029457
7.96,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,0,0,0,"einfacher",0,1,0,0,62,1972,0.145558636890798
15.64,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,55,1983,0.139107936589899
14.77,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,0,"guter",0,0,0,0,65,2013.5,0.098875217223581
22.33,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"einfacher",0,1,0,0,30,1972,0.123296416248747
13.45,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,0,0,2,"guter",0,0,0,0,58,1993.5,0.142436415377837
16.35,0,"durchschnittliche","anderer","anderer",FALSE,0,2,1,0,"guter",0,0,0,0,160,2013.5,0.0809135419049295
11.17,0,"durchschnittliche","Wohnblock","anderer",FALSE,0,0,0,0,"einfacher",0,1,0,0,55,1983,0.144277621598137
14.71,0,"durchschnittliche","anderer","guter",FALSE,0,2,0,3,"guter",0,1,0,0,85,1918,0.057594883500363
16.67,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,3,"guter",0,1,1,0,120,1993.5,0.176201206454799
14.02,0,"durchschnittliche","anderer","anderer",FALSE,0,2,1,0,"guter",0,0,1,0,66,2020,0.0794471270784379
15.17,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,60,1972,0.124575789425558
10.1,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,0,"ohne",0,1,0,0,75,1957.5,0.233012836929265
10.77,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,2,"guter",0,0,1,0,98,2013.5,0.117330584065189
8.79,0,"durchschnittliche","Wohnblock","ENb",FALSE,0,1,0,0,"anderer",0,1,0,0,66,1957.5,0.111525286708451
20,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,1,"guter",1,1,0,0,45,1993.5,0.0907609732757726
14.38,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",0,1,0,0,37,1993.5,0.127736184064069
13.07,0,"durchschnittliche","anderer","anderer",FALSE,0,3,0,0,"guter",0,0,1,0,102,2013.5,0.107440441250264
14.4,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,3,"anderer",0,1,0,0,75,1972,0.120229777379431
11.69,0,"durchschnittliche","anderer","ENb",FALSE,0,2,0,0,"guter",0,1,0,0,68,1972,0.116466417958151
18.53,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",0,0,0,0,34,1993.5,0.125763679389723
12.1,0,"durchschnittliche","anderer","ENb",FALSE,0,1,0,0,"guter",0,1,0,0,67,1957.5,0.0627773253973507
21.07,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,3,"guter",0,0,0,0,56,2020,0.0841018852973587
14.13,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,38,1972,0.123915807131967
10,0,"durchschnittliche","anderer","anderer",FALSE,0,2,1,3,"guter",0,0,1,0,88,2003.5,0.129540173130975
15.57,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,100,1972,0.0766468140104031
10.81,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,3,"einfacher",0,0,0,0,74,2003.5,0.139307006416986
12.77,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,63,1972,0.141072825171938
16.4,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",0,0,0,0,84,2003.5,0.157724938639839
19.67,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,3,"guter",0,0,1,0,30,2013.5,0.0919379767076481
25.48,0,"durchschnittliche","anderer","anderer",FALSE,0,0,1,3,"guter",1,1,0,0,31,1972,0.0814552201244402
15.05,0,"durchschnittliche","anderer","anderer",FALSE,0,0,1,0,"anderer",0,1,0,0,57,1972,0.122101587115746
22.57,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,2,"guter",1,1,0,0,35,1983,0.0854789720279655
14.15,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,2,"guter",0,1,0,0,65,1957.5,0.124259050723499
12.14,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,0,"einfacher",0,0,0,0,70,1972,0.151724976562804
14.71,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,2,"guter",0,0,0,0,68,1957.5,0.140714054430371
17.5,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,32,1972,0.120118327177574
17.33,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,57,1957.5,0.132910876622081
29.38,0,"durchschnittliche","Hochhaus","anderer",FALSE,1,2,1,3,"guter",0,1,0,0,32,1972,0.0710846902003793
16.67,0,"durchschnittliche","Hochhaus","anderer",FALSE,0,1,1,3,"einfacher",1,1,0,0,72,1972,0.0937285640059924
14.54,0,"durchschnittliche","anderer","anderer",FALSE,1,0,1,0,"ohne",0,1,0,0,51,1972,0.155725754793705
13.33,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,1,"guter",0,1,0,0,105,1972,0.157320464123041
15.64,1,"gute","anderer","anderer",FALSE,0,3,0,3,"guter",1,0,1,0,140,2003.5,0.061928613351228
16.67,0,"durchschnittliche","anderer","anderer",FALSE,0,1,0,0,"guter",0,1,0,0,75,1972,0.134653957312823
14.76,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,0,0,0,72,1957.5,0.143663604263602
14.54,0,"durchschnittliche","anderer","ENb",FALSE,0,0,0,0,"guter",0,1,0,0,50,1972,0.131874270722978
14.84,0,"durchschnittliche","anderer","anderer",FALSE,0,1,1,2,"einfacher",0,0,0,0,46,2003.5,0.120476680944995
21.43,0,"durchschnittliche","anderer","anderer",FALSE,0,0,1,2,"guter",0,1,0,0,63,1983,0.0725006717871084
16.13,0,"durchschnittliche","anderer","anderer",FALSE,0,2,0,0,"guter",0,1,0,0,62,1983,0.116041932767792
14.38,0,"durchschnittliche","anderer","ENb",FALSE,0,1,0,0,"guter",0,1,0,0,64,1957.5,0.123616265262431
12.54,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,1,0,54,1957.5,0.130858754544165
13.95,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,0,0,0,43,1957.5,0.123601295634323
7.58,0,"durchschnittliche","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,104,1972,0.0872479650373275
